,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC,3100-iSIC
,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg,Avg
Date/Time,Bat,Terrestrial PAR,Terrestrial PAR mv,Underwater PAR,Underwater PAR mv,Chlorophyll,Chlorophyll mv,1m Temperature,1m DOSat,1m DO,3m Temperature,3m DOSat,3m DO,5m Temperature,5m DOSat,5m DO,7m Temperature,7m DOSat,7m DO,9m Temperature,9m DOSat,9m DO,11m Temperature,11m DOSat,11m DO,13m Temperature,13m DOSat,13m DO,AirTemp,RH,Rel. BP,WindSp,Max WindSp,WindDir,Wet Bulb Temp,Precip Type,RainInten,TotalRain,IntvRain,SolarRad,Head
m/d/y,V,µmol/s/m²,mV,µmol/s/m²,mV,µg/L,mV,C,%,mg/L,C,%,mg/L,C,%,mg/L,C,%,mg/L,C,%,mg/L,C,%,mg/L,C,%,mg/L,C,%,hPa,m/s,m/s,Degree,C,,mm/h,mm,mm,W/m²,Degree
8/26/2017 6:45,12.9,96.196,0.383,21.549,0.091,2.259,22.588,23.12,214.6,18.37,23.09,89.3,7.65,23.24,93.9,8.02,-99999.99,-100000,-99999.99,14.26,0.2,0.02,12.88,0,0,12.67,100,10.68,10.3,96,1010.8,1.5,1.9,229,10,0,0,286.3,0,1000,313
8/26/2017 7:00,13.1,158.569,0.632,31.997,0.135,2.348,23.482,23.13,213.5,18.27,23.09,89.2,7.64,23.24,94.2,8.05,-99999.99,-100000,-99999.99,14.2,0,0,12.88,0,0,12.69,100,10.67,10.7,95,1010.9,0.8,1.6,250,10.3,0,0,286.3,0,1000,313
8/26/2017 7:15,13.3,236.175,0.941,44.579,0.188,2.281,22.808,23.13,214,18.31,23.06,89.6,7.68,23.23,94.4,8.06,-99999.99,-100000,-99999.99,14.21,0,0,12.88,0,0,12.7,100,10.67,11.3,94,1010.9,1.3,1.8,221,10.8,0,0,286.3,0,1000,313
8/26/2017 7:30,13.3,319.344,1.272,59.532,0.252,2.257,22.57,23.1,214.4,18.36,23.06,89.7,7.69,23.21,94.5,8.07,-99999.99,-100000,-99999.99,14.22,0,0,12.87,0,0,12.7,100,10.67,11.8,91,1010.9,1.2,2.1,229,11,0,0,286.3,0,1000,313
8/26/2017 7:45,13.5,440.274,1.754,79.556,0.336,2.153,21.532,23.13,212.9,18.21,23.03,89.5,7.67,23.21,94.1,8.04,-99999.99,-100000,-99999.99,14.21,0,0,12.87,0,0,12.7,100,10.67,12.3,90,1011.1,1.3,1.8,209,11.4,0,0,286.3,0,1000,313
8/26/2017 8:00,13.4,538.855,2.147,92.579,0.391,2.156,21.559,23.12,214.7,18.37,23.06,89.8,7.69,23.2,93.2,7.96,-99999.99,-100000,-99999.99,14.2,0.1,0.01,12.88,0,0,12.71,100,10.67,12.4,85,1011.1,1.3,2.1,207,11,0,0,286.3,0,1000,313
8/26/2017 8:15,13.7,618.06,2.462,123.35,0.521,2.535,25.351,23.12,214.5,18.36,23.06,89.7,7.69,23.2,93.2,7.96,-99999.99,-100000,-99999.99,14.2,0,0,12.88,0,0,12.7,100,10.67,12.8,85,1011.4,1.1,1.8,213,11.4,0,0,286.3,0,1000,313
8/26/2017 8:30,13.6,665.012,2.649,142.333,0.601,2.161,21.613,23.15,216,18.47,23.06,89.4,7.66,23.2,93.6,8,-99999.99,-100000,-99999.99,14.22,0.2,0.02,12.88,0,0,12.66,100,10.68,13.6,82,1011.5,0.5,0.9,146,11.9,0,0,286.3,0,1000,313
8/26/2017 8:45,14,734.146,2.925,170.213,0.719,2.126,21.264,23.17,215.9,18.46,23.06,90.4,7.74,23.2,94.8,8.1,-99999.99,-100000,-99999.99,14.26,0.4,0.04,12.88,0,0,12.67,100,10.68,14.8,80,1011.5,0.8,1.8,125,12.8,0,0,286.3,0,1000,313
8/26/2017 9:00,14,812.49,3.237,205.578,0.869,1.872,18.72,23.18,215.5,18.42,23.06,90.2,7.73,23.21,94.7,8.09,-99999.99,-100000,-99999.99,14.3,0.7,0.07,12.88,0,0,12.69,100,10.67,14.5,78,1011.5,0.6,1.3,207,12.4,0,0,286.3,0,1000,313
8/26/2017 9:15,14.2,860.995,3.43,215.461,0.91,1.536,15.359,23.22,214.7,18.35,23.06,89.3,7.66,23.2,94,8.03,-99999.99,-100000,-99999.99,14.33,0.8,0.08,12.89,0,0,12.69,100,10.67,15.6,75,1011.5,0.5,0.9,131,13,0,0,286.3,0,1000,313
8/26/2017 9:30,14,951.627,3.791,246.383,1.041,1.53,15.297,23.26,216.5,18.48,23.07,89.1,7.64,23.19,93.3,7.98,-99999.99,-100000,-99999.99,14.38,0.9,0.1,12.88,0,0,12.67,100,10.68,16.2,71,1011.6,0.4,0.8,75,13.1,0,0,286.3,0,1000,313
8/26/2017 9:45,13.9,1012.242,4.033,282.541,1.194,1.746,17.456,23.28,216.9,18.51,23.09,89.7,7.68,23.18,93.4,7.98,-99999.99,-100000,-99999.99,14.43,0.9,0.09,12.88,0,0,12.68,100,10.67,16.1,76,1011.5,1.2,2.1,66,13.6,0,0,286.3,0,1000,313
8/26/2017 10:00,13.8,1047.87,4.174,261.865,1.106,1.777,17.773,23.23,220.1,18.8,23.07,92.8,7.95,23.17,96.8,8.28,-99999.99,-100000,-99999.99,14.46,1.8,0.18,12.88,0,0,12.69,100,10.67,16.7,69,1011.4,0.7,1.4,37,13.4,0,0,286.3,0,1000,313
8/26/2017 10:15,14,1101.303,4.387,331.141,1.399,1.528,15.279,23.27,218,18.61,23.09,91.9,7.87,23.14,96.1,8.22,-99999.99,-100000,-99999.99,14.46,1.8,0.18,12.88,0,0,12.69,100,10.67,17.3,61,1011.4,0.7,1.4,339,12.9,0,0,286.3,0,1000,313
8/26/2017 10:30,14.1,1174.906,4.681,349.172,1.475,1.956,19.563,23.3,215.9,18.41,23.09,90,7.71,23.12,95.5,8.17,-99999.99,-100000,-99999.99,14.5,1.7,0.17,12.87,0,0,12.67,100,10.68,17.8,63,1011.5,1.5,2.2,321,13.6,0,0,286.3,0,1000,313
8/26/2017 10:45,14,1225.469,4.882,413.527,1.747,1.931,19.31,23.28,220.6,18.82,23.07,92.7,7.94,23.1,99.2,8.49,-99999.99,-100000,-99999.99,14.51,1.9,0.19,12.88,0,0,12.68,100,10.67,17.8,62,1011.3,1.2,2.3,315,13.4,0,0,286.3,0,1000,313
8/26/2017 11:00,13.7,1238.411,4.934,327.429,1.383,1.942,19.417,23.26,220,18.78,23.08,91.2,7.81,23.1,96.1,8.23,-99999.99,-100000,-99999.99,14.43,1.4,0.14,12.88,0,0,12.69,100,10.67,18.5,58,1011.3,3.1,4.6,315,13.6,0,0,286.3,0,1000,313
8/26/2017 11:15,13.6,1302.513,5.189,343.467,1.451,1.998,19.977,23.37,228.5,19.46,23.06,94,8.05,23.1,98.8,8.46,-99999.99,-100000,-99999.99,14.47,1.7,0.18,12.88,0,0,12.67,100,10.68,18.9,55,1011.3,4.1,5.9,337,13.5,0,0,286.3,0,1000,313
8/26/2017 11:30,13.4,1346.96,5.366,452.851,1.913,1.907,19.072,23.37,233.1,19.86,23.09,95.8,8.2,23.1,101.4,8.68,-99999.99,-100000,-99999.99,14.5,2.2,0.22,12.88,0,0,12.68,100,10.67,19.3,61,1011.2,6,8.4,341,14.7,0,0,286.3,0,1000,313
8/26/2017 11:45,13.6,1346.623,5.365,317.677,1.342,1.955,19.549,23.35,231.6,19.74,23.1,95.8,8.2,23.1,101,8.65,-99999.99,-100000,-99999.99,14.46,2,0.21,12.88,0,0,12.68,100,10.67,19.3,55,1011,4.4,5.3,344,13.9,0,0,286.3,0,1000,313
8/26/2017 12:00,13.5,1425.454,5.679,578.881,2.446,1.903,19.028,23.41,232.4,19.78,23.07,95.4,8.17,23.14,101.2,8.66,-99999.99,-100000,-99999.99,14.43,1.7,0.18,12.87,0,0,12.67,100,10.68,19.2,51,1011,3.1,4.4,300,13.3,0,0,286.3,0,1000,313
8/26/2017 12:15,13.6,1431.485,5.703,414.303,1.75,1.96,19.601,23.42,231.4,19.69,23.06,94.6,8.11,23.13,99.8,8.54,-99999.99,-100000,-99999.99,14.38,1.1,0.12,12.86,0,0,12.72,100,10.67,19.7,60,1010.7,4.9,6.2,343,14.9,0,0,286.3,0,1000,313
8/26/2017 12:30,13.5,1521.734,6.062,556.028,2.349,2.012,20.117,23.44,230.2,19.58,23.06,94.8,8.12,23.12,100.3,8.58,-99999.99,-100000,-99999.99,14.26,0.7,0.07,12.83,0,0,12.67,100,10.68,19.7,51,1010.6,3,4.9,331,13.7,0,0,286.3,0,1000,313
8/26/2017 12:45,13.9,814.146,3.243,225.795,0.954,1.996,19.965,23.42,230.9,19.65,23.06,95.6,8.19,23.13,100.7,8.61,-99999.99,-100000,-99999.99,14.21,0.6,0.07,12.87,0,0,12.62,100,10.69,20,57,1010.7,4.3,7.6,334,14.7,0,0,286.3,0,1000,313
8/26/2017 13:00,13.6,460.847,1.836,139.556,0.59,2.053,20.532,23.37,229.5,19.55,23.17,97.2,8.31,23.14,102.2,8.74,-99999.99,-100000,-99999.99,14.5,1.9,0.19,12.88,0,0,12.65,100,10.68,20.2,55,1010.5,4.2,5,343,14.7,0,0,286.3,0,1000,313
8/26/2017 13:15,13.7,356.581,1.421,94.933,0.401,2.136,21.359,23.33,228.8,19.5,23.28,97.4,8.31,23.18,102.5,8.76,-99999.99,-100000,-99999.99,14.46,1.6,0.17,12.89,0,0,12.66,100,10.68,20,54,1010.6,4.7,6.4,296,14.3,0,0,286.3,0,1000,313
8/26/2017 13:30,13.7,1289.169,5.136,465.812,1.968,1.97,19.697,23.39,230.9,19.66,23.28,96.5,8.23,23.18,101.7,8.7,-99999.99,-100000,-99999.99,14.03,0.3,0.03,12.89,0,0,12.65,100,10.68,20.3,53,1010.6,3.7,6.5,327,14.4,0,0,286.3,0,1000,313
8/26/2017 13:45,13.9,1308.582,5.213,455.769,1.926,1.982,19.819,23.38,233.7,19.9,23.32,97.1,8.27,23.23,102.6,8.76,-99999.99,-100000,-99999.99,14.09,0.1,0.01,12.88,0,0,12.63,100,10.69,20.5,45,1010.7,3.3,4.9,299,13.5,0,0,286.3,0,1000,313
8/26/2017 14:00,13.4,1291.656,5.146,478.623,2.022,1.971,19.709,23.4,236.5,20.13,23.32,97.3,8.3,23.29,102.9,8.78,-99999.99,-100000,-99999.99,14.38,1.1,0.11,12.85,0,0,12.67,100,10.68,20.6,51,1010.6,3.9,5.6,339,14.4,0,0,286.3,0,1000,313
8/26/2017 14:15,13.6,1114.918,4.442,370.438,1.565,1.976,19.757,23.48,234,19.89,23.34,96.8,8.25,23.36,102,8.69,-99999.99,-100000,-99999.99,14.46,1.9,0.19,12.88,0,0,12.72,100,10.66,20.5,43,1010.6,2.8,4.5,313,13.2,0,0,286.3,0,1000,313
8/26/2017 14:30,13.4,1207.888,4.812,318.541,1.346,2.016,20.157,23.51,234.3,19.9,23.37,96.3,8.2,23.32,101.4,8.65,-99999.99,-100000,-99999.99,14.43,1.4,0.15,12.9,0,0,12.73,100,10.66,20.9,46,1010.3,3.8,4.7,343,14,0,0,286.3,0,1000,313
8/26/2017 14:45,13.6,1191.252,4.746,381.988,1.614,1.993,19.925,23.53,235.2,19.97,23.39,96.8,8.24,23.39,102.4,8.72,-99999.99,-100000,-99999.99,14.58,2.3,0.24,12.89,0,0,12.73,100,10.66,21,51,1010.3,4.1,5.4,332,14.9,0,0,286.3,0,1000,313
8/26/2017 15:00,13.4,1125.588,4.484,378.4,1.599,2.032,20.319,23.53,237.3,20.15,23.39,97.4,8.3,23.33,102.9,8.77,-99999.99,-100000,-99999.99,14.66,2.8,0.29,12.87,0,0,12.72,100,10.66,21.1,48,1010.1,4.3,6.4,301,14.5,0,0,286.3,0,1000,313
8/26/2017 15:15,13.6,1100.948,4.386,262.729,1.11,1.987,19.87,23.51,234.1,19.88,23.44,96.7,8.23,23.4,101.9,8.68,-99999.99,-100000,-99999.99,14.58,2.1,0.21,12.89,0,0,12.73,100,10.66,21.3,44,1010.1,5,6.2,333,14,0,0,286.3,0,1000,313
8/26/2017 15:30,13.7,1038.407,4.137,435.834,1.841,2.001,20.015,23.52,233.9,19.87,23.42,97.4,8.29,23.29,103,8.79,-99999.99,-100000,-99999.99,14.6,2.3,0.24,12.89,0,0,12.71,100,10.67,21.2,43,1010.1,4,5.8,330,13.8,0,0,286.3,0,1000,313
8/26/2017 15:45,13.6,933.982,3.721,295.864,1.25,1.992,19.918,23.52,234.7,19.93,23.44,97.8,8.32,23.29,102.8,8.77,-99999.99,-100000,-99999.99,14.82,4.4,0.45,12.9,0,0,12.78,100,10.65,21.4,47,1010,3.4,4.8,344,14.4,0,0,286.3,0,1000,313
8/26/2017 16:00,13.4,924.481,3.683,245.307,1.036,2.04,20.398,23.55,232.4,19.72,23.39,96.2,8.19,23.13,100.8,8.63,-99999.99,-100000,-99999.99,14.74,3.4,0.35,12.9,0,0,12.76,100,10.65,21.5,44,1010,3.3,4.8,325,14.2,0,0,286.3,0,1000,313
8/26/2017 16:15,13.9,882.634,3.516,244.452,1.033,2.06,20.603,23.54,234.5,19.91,23.39,97.5,8.3,23.13,102.2,8.74,-99999.99,-100000,-99999.99,14.92,4.7,0.48,12.9,0,0,12.79,100,10.65,21.5,48,1010,5.1,7.6,342,14.7,0,0,286.3,0,1000,313
8/26/2017 16:30,13.5,368.784,1.469,86.627,0.366,2.165,21.651,23.49,233.4,19.83,23.39,97.8,8.33,23,100.7,8.64,-99999.99,-100000,-99999.99,14.91,6,0.6,12.91,0,0,12.78,100,10.65,21.4,51,1010.2,3.7,5.8,339,15,0,0,286.3,0,1000,313
8/26/2017 16:45,13.7,267.641,1.066,62.204,0.263,2.132,21.316,23.47,234.1,19.9,23.43,97.7,8.31,23.22,101.8,8.69,-99999.99,-100000,-99999.99,15.28,7.9,0.79,12.91,0,0,12.74,100,10.66,21.1,53,1010.2,3,4.5,311,15.2,0,0,286.3,0,1000,313
8/26/2017 17:00,13.4,253.231,1.009,60.643,0.256,2.169,21.694,23.43,233.3,19.85,23.39,97.3,8.29,23.19,100.8,8.62,-99999.99,-100000,-99999.99,15.29,8.1,0.82,12.89,0,0,12.67,100,10.68,20.5,53,1010.3,3.3,4.5,303,14.6,0,0,286.3,0,1000,313
8/26/2017 17:15,13.2,189.568,0.755,45.99,0.194,2.262,22.619,23.4,230.3,19.61,23.36,96.2,8.2,23.32,100.3,8.55,-99999.99,-100000,-99999.99,15.39,8.6,0.87,12.89,0,0,12.63,100,10.69,20.1,52,1010.4,2.2,3.4,294,14.2,0,0,286.3,0,1000,313
8/26/2017 17:30,13.8,295.321,1.176,87.941,0.372,2.153,21.528,23.39,227,19.33,23.36,94.8,8.08,23.45,99.2,8.44,-99999.99,-100000,-99999.99,15.58,9.9,0.99,12.89,0,0,12.62,100,10.69,20.1,54,1010.4,1.7,2.6,294,14.5,0,0,286.3,0,1000,313
8/26/2017 17:45,14.1,218.678,0.871,58.677,0.248,1.528,15.281,23.39,225.1,19.17,23.33,94.4,8.05,23.45,98.5,8.38,-99999.99,-100000,-99999.99,15.67,10.5,1.05,12.89,0,0,12.62,100,10.69,19.7,53,1010.6,0.6,1.4,281,13.9,0,0,286.3,0,1000,313
8/26/2017 18:00,13.9,158.597,0.632,38.795,0.164,2.137,21.372,23.38,223,18.99,23.33,93.5,7.97,23.51,97.8,8.3,-99999.99,-100000,-99999.99,15.65,11.2,1.12,12.89,0,0,12.65,100,10.68,19.6,59,1010.6,0.9,1.1,227,14.8,0,0,286.3,0,1000,313
8/26/2017 18:15,14.1,149.105,0.594,34.845,0.147,1.531,15.312,23.37,221,18.82,23.33,93.2,7.95,23.44,97.8,8.32,-99999.99,-100000,-99999.99,15.61,10.6,1.06,12.87,0,0,12.67,100,10.68,19.3,64,1010.7,0.7,0.8,247,15,0,0,286.3,0,1000,313
8/26/2017 18:30,13.9,106.763,0.425,23.541,0.099,2.568,25.679,23.34,227.3,19.37,23.32,95.6,8.15,23.45,100.3,8.53,-99999.99,-100000,-99999.99,15.66,9.6,0.96,12.87,0,0,12.67,100,10.68,19.1,63,1010.8,0.7,1,220,14.8,0,0,286.3,0,1000,313
8/26/2017 18:45,12.9,81.262,0.324,18.428,0.078,2.242,22.422,23.34,222.8,18.99,23.3,93.5,7.97,23.45,98.4,8.37,-99999.99,-100000,-99999.99,15.75,10,1,12.86,0,0,12.67,100,10.68,18.6,61,1011,0.9,1.2,217,14.1,0,0,286.3,0,1000,313
8/26/2017 19:00,12.7,48.701,0.194,12.185,0.051,2.223,22.234,23.33,223.5,19.05,23.28,93.8,8,23.43,98,8.34,-99999.99,-100000,-99999.99,15.63,9.6,0.96,12.86,0,0,12.68,100,10.67,17.6,67,1011.1,0.9,1.3,241,14,0,0,286.3,0,1000,313
8/26/2017 19:15,12.8,17.964,0.072,5.696,0.024,2.253,22.529,23.32,222.8,19,23.27,93.3,7.97,23.41,97.7,8.31,-99999.99,-100000,-99999.99,15.63,9.3,0.93,12.89,0,0,12.69,100,10.67,17.4,73,1011.1,0.6,0.8,293,14.4,0,0,286.3,0,1000,313
8/26/2017 19:30,12.6,2.497,0.01,2.689,0.011,2.354,23.54,23.3,221.6,18.9,23.27,93.2,7.95,23.4,96.9,8.25,-99999.99,-100000,-99999.99,15.42,8,0.8,12.88,0,0,12.67,100,10.68,16.9,72,1011.2,0.6,0.9,257,13.9,0,0,286.3,0,1000,313
8/26/2017 19:45,12.8,-2.637,-0.011,1.887,0.008,2.326,23.261,23.31,221.5,18.89,23.26,93,7.94,23.4,96.1,8.18,-99999.99,-100000,-99999.99,15.34,6.5,0.66,12.88,0,0,12.69,100,10.67,16.7,72,1011.4,0.8,1.4,251,13.6,0,0,286.3,0,1000,313
8/26/2017 20:00,12.6,-3.544,-0.014,1.922,0.008,2.33,23.303,23.3,222,18.94,23.27,92.3,7.87,23.43,95.8,8.15,-99999.99,-100000,-99999.99,15.3,5.6,0.56,12.87,0,0,12.67,100,10.68,16.8,74,1011.5,0.8,1.3,262,14,60,0,286.3,0,1000,313
8/26/2017 20:15,12.8,-2.936,-0.012,2.072,0.009,2.279,22.787,23.31,220.5,18.81,23.27,92.9,7.93,23.4,95.7,8.15,-99999.99,-100000,-99999.99,15.21,5.2,0.53,12.86,0,0,12.67,100,10.68,16.9,73,1011.7,1,1.5,271,14,0,0,286.3,0,1000,313
8/26/2017 20:30,12.6,-3.217,-0.013,1.614,0.007,2.326,23.259,23.3,220.5,18.8,23.26,92.7,7.92,23.4,95.5,8.13,-99999.99,-100000,-99999.99,15.11,4.5,0.45,12.86,0,0,12.66,100,10.68,16.8,75,1011.8,1.1,1.8,290,14.1,0,0,286.3,0,1000,313
8/26/2017 20:45,12.8,-3.348,-0.013,1.684,0.007,2.319,23.189,23.28,220.6,18.82,23.25,92.1,7.86,23.41,96,8.17,-99999.99,-100000,-99999.99,14.72,2.5,0.25,12.84,0,0,12.56,100,10.7,16.7,70,1011.9,1,1.5,339,13.4,0,0,286.3,0,1000,313
8/26/2017 21:00,12.6,-3.769,-0.015,1.42,0.006,2.256,22.561,23.28,220.4,18.8,23.23,92.6,7.91,23.4,95.6,8.14,-99999.99,-100000,-99999.99,14.33,0,0,12.82,0,0,12.56,100,10.7,16.7,68,1012,1,1.5,285,13.2,0,0,286.3,0,1000,313
8/26/2017 21:15,12.8,-3.553,-0.014,1.578,0.007,2.186,21.856,23.27,224.4,19.15,23.23,95.4,8.15,23.4,98.4,8.37,-99999.99,-100000,-99999.99,13.94,0,0,12.83,0,0,12.56,100,10.7,16.5,73,1012.2,1.1,1.6,249,13.6,0,0,286.3,0,1000,313
8/26/2017 21:30,12.6,-3.61,-0.014,1.993,0.008,2.249,22.486,23.27,223,19.03,23.23,92.9,7.94,23.4,96.4,8.21,-99999.99,-100000,-99999.99,13.7,0,0,12.83,0,0,12.61,100,10.69,16.3,74,1012.3,1.3,1.9,274,13.6,0,0,286.3,0,1000,313
8/26/2017 21:45,12.8,-4.115,-0.016,2.883,0.012,2.183,21.828,23.26,221.5,18.9,23.2,92.9,7.94,23.37,95.9,8.17,-99999.99,-100000,-99999.99,13.73,0,0,12.87,0,0,12.68,100,10.67,15.9,77,1012.3,1.3,1.9,273,13.5,0,0,286.3,0,1000,313
8/26/2017 22:00,12.6,-3.638,-0.014,2.213,0.009,2.171,21.707,23.26,222.7,19.01,23.2,92.8,7.93,23.35,96.1,8.18,-99999.99,-100000,-99999.99,13.48,0,0,12.87,0,0,12.72,100,10.67,15.8,80,1012.5,1.3,1.8,304,13.7,0,0,286.3,0,1000,313
8/26/2017 22:15,12.8,-3.871,-0.015,2.636,0.011,2.212,22.116,23.24,221.7,18.93,23.2,92.4,7.9,23.4,95.9,8.16,-99999.99,-100000,-99999.99,13.56,0,0,12.86,0,0,12.69,100,10.67,15.5,78,1012.6,1.5,2,233,13.2,0,0,286.3,0,1000,313
8/26/2017 22:30,12.6,-4.423,-0.018,2.707,0.011,2.428,24.279,23.26,222.2,18.97,23.2,92.5,7.91,23.34,94.9,8.08,-99999.99,-100000,-99999.99,13.61,0,0,12.87,0,0,12.69,100,10.67,15.2,79,1012.6,1,1.4,236,13.1,0,0,286.3,0,1000,313
8/26/2017 22:45,12.8,-4.058,-0.016,2.98,0.013,2.199,21.989,23.22,222.4,19,23.19,92.3,7.88,23.35,93,7.92,-99999.99,-100000,-99999.99,13.69,0,0,12.87,0,0,12.72,100,10.66,15.1,81,1012.7,1.4,1.7,239,13.2,0,0,286.3,0,1000,313
8/26/2017 23:00,12.6,-4.292,-0.017,2.513,0.011,2.213,22.129,23.2,220.6,18.85,23.16,91.8,7.85,23.33,96,8.18,-99999.99,-100000,-99999.99,13.75,0,0,12.86,0,0,12.7,100,10.67,15,79,1012.7,0.9,1.3,244,12.9,0,0,286.3,0,1000,313
8/26/2017 23:15,12.8,-3.909,-0.016,2.31,0.01,2.331,23.313,23.21,221.2,18.9,23.16,92,7.87,23.33,96.7,8.24,-99999.99,-100000,-99999.99,13.84,0,0,12.86,0,0,12.69,100,10.67,15,81,1012.6,1.2,1.4,223,13.2,0,0,286.3,0,1000,313
8/26/2017 23:30,12.6,-4.124,-0.016,2.769,0.012,2.255,22.547,23.19,221,18.89,23.15,92.4,7.9,23.32,97.2,8.29,-99999.99,-100000,-99999.99,13.89,0,0,12.87,0,0,12.72,100,10.66,14.8,76,1012.7,1.1,1.3,220,12.4,0,0,286.3,0,1000,313
8/26/2017 23:45,12.8,-4.657,-0.019,3.024,0.013,2.268,22.678,23.17,221.5,18.94,23.14,92.6,7.92,23.32,97,8.27,-99999.99,-100000,-99999.99,13.93,0,0,12.88,0,0,12.74,100,10.66,14.7,78,1012.7,1.1,1.3,249,12.5,0,0,286.3,0,1000,313
8/27/2017 0:00,12.6,-4.545,-0.018,2.821,0.012,2.246,22.455,23.17,220.3,18.84,23.13,92.5,7.91,23.29,97.2,8.29,-99999.99,-100000,-99999.99,13.98,0,0,12.89,0,0,12.82,100,10.64,14.8,75,1012.7,0.9,1.5,278,12.3,0,0,286.3,0,1000,313
8/27/2017 0:15,12.7,-4.778,-0.019,2.945,0.012,2.094,20.938,23.13,219.7,18.8,23.11,91.3,7.82,23.29,96.4,8.22,-99999.99,-100000,-99999.99,14.05,0,0,12.89,0,0,12.92,100,10.61,14.8,84,1012.8,0.3,0.4,0,13.2,0,0,286.3,0,1000,313
8/27/2017 0:30,12.6,-4.161,-0.017,2.821,0.012,2.297,22.968,23.11,220.3,18.86,23.1,92.3,7.9,23.29,96.9,8.27,-99999.99,-100000,-99999.99,14.08,0,0,12.9,0,0,12.93,100,10.61,14.7,79,1012.9,0.8,1.4,266,12.6,0,0,286.3,0,1000,313
8/27/2017 0:45,12.7,-5.096,-0.02,3.192,0.013,2.251,22.508,23.1,220.3,18.87,23.08,92.4,7.92,23.24,97.1,8.29,-99999.99,-100000,-99999.99,14.09,0,0,12.91,0,0,12.94,100,10.61,14.7,80,1013,1.2,2,278,12.7,0,0,286.3,0,1000,313
8/27/2017 1:00,12.6,-4.292,-0.017,3.183,0.013,2.241,22.405,23.1,220.3,18.86,23.07,92.3,7.91,23.24,96.7,8.26,-99999.99,-100000,-99999.99,14.13,0,0,12.91,0,0,12.91,100,10.62,14.5,78,1012.9,1.6,2.4,277,12.3,0,0,286.3,0,1000,313
8/27/2017 1:15,12.7,-4.03,-0.016,2.716,0.011,2.273,22.733,23.07,219.9,18.83,23.06,92.5,7.93,23.23,96.5,8.24,-99999.99,-100000,-99999.99,14.2,0,0,12.92,0,0,12.93,100,10.61,14.2,80,1012.9,1.1,1.5,273,12.3,0,0,286.3,0,1000,313
8/27/2017 1:30,12.6,-4.432,-0.018,3.412,0.014,2.306,23.056,23.1,219.1,18.76,23.06,91.9,7.87,23.22,95.9,8.2,-99999.99,-100000,-99999.99,14.26,0,0,12.93,0,0,12.94,100,10.61,13.9,83,1012.8,1.1,1.5,228,12.2,0,0,286.3,0,1000,313
8/27/2017 1:45,12.7,-4.9,-0.02,3.686,0.016,2.293,22.928,23.07,219.7,18.82,23.06,92.2,7.9,23.21,96.5,8.25,-99999.99,-100000,-99999.99,14.34,0,0,12.93,0,0,12.94,100,10.61,13.8,86,1012.7,1.3,1.6,240,12.5,0,0,286.3,0,1000,313
8/27/2017 2:00,12.6,-4.797,-0.019,2.901,0.012,2.25,22.501,23.07,219.8,18.83,23.04,92.3,7.91,23.21,96.6,8.25,-99999.99,-100000,-99999.99,14.42,0.1,0.01,12.93,0,0,12.9,100,10.62,13.7,80,1012.8,1.5,2.1,286,11.8,0,0,286.3,0,1000,313
8/27/2017 2:15,12.7,-4.844,-0.019,3.544,0.015,2.256,22.558,23.06,218.1,18.69,23.03,92.3,7.91,23.21,96.3,8.23,-99999.99,-100000,-99999.99,14.45,0.3,0.03,12.92,0,0,12.86,100,10.63,13.7,85,1012.8,1.3,1.9,279,12.3,0,0,286.3,0,1000,313
8/27/2017 2:30,12.5,-4.507,-0.018,3.104,0.013,2.304,23.039,23.05,218.9,18.76,23.01,92,7.89,23.18,96,8.2,-99999.99,-100000,-99999.99,14.46,0.3,0.03,12.92,0,0,12.85,100,10.63,13.4,88,1012.8,0.8,1.3,267,12.3,0,0,286.3,0,1000,313
8/27/2017 2:45,12.7,-5.33,-0.021,3.959,0.017,2.219,22.187,23.04,219.4,18.81,23.01,92.2,7.9,23.18,96,8.21,-99999.99,-100000,-99999.99,14.5,0.5,0.05,12.91,0,0,12.81,100,10.64,13.3,87,1012.8,1.1,1.6,282,12,0,0,286.3,0,1000,313
8/27/2017 3:00,12.5,-4.863,-0.019,4.1,0.017,2.276,22.761,23.04,219.4,18.81,23.01,91.9,7.89,23.18,96.2,8.23,-99999.99,-100000,-99999.99,14.53,0.6,0.06,12.91,0,0,12.67,100,10.68,13.5,90,1012.8,1.6,2.3,303,12.6,0,0,286.3,0,1000,313
